Season,La Niña,Neutral,El Niño
ASO,30,68,2
SON,39,57,4
OND,44,49,7
NDJ,42,50,8
DJF,38,52,10
JFM,32,58,10
FMA,24,66,10
MAM,17,73,10
AMJ,13,71,16
